"Geneid" "HG002" "HG003"
"ENSG00000035681.9_7" 12209 6328
"ENSG00000035687.10_6" 11427 7784
"ENSG00000035720.8_4" 3039 3120
"ENSG00000035862.12_6" 14694 18316
"ENSG00000035928.16_6" 7830 4538
"ENSG00000036054.13_5" 4712 4777
"ENSG00000036257.13_6" 9911 12062
"ENSG00000036448.10_5" 1325 6398
"ENSG00000036473.8_6" 0 0
"ENSG00000036530.9_4" 62 0
"ENSG00000036549.13_7" 6426 3802
"ENSG00000036565.15_7" 163 0
"ENSG00000036672.16_6" 0 0
"ENSG00000036828.17_6" 0 0
"ENSG00000037042.9_4" 114 445
"ENSG00000037241.7_6" 549 66
"ENSG00000037280.16_7" 1060 28
"ENSG00000037474.15_5" 7656 12892
"ENSG00000037637.11_6" 4921 5620
"ENSG00000037749.12_5" 1741 756
"ENSG00000037757.14_5" 2198 3816
"ENSG00000037897.17_8" 390 0
"ENSG00000037965.6_5" 0 0
"ENSG00000038002.9_5" 2739 1280
"ENSG00000038210.14_7" 4024 4400
"ENSG00000038219.13_5" 37440 47894
"ENSG00000038274.17_5" 27684 27064
"ENSG00000038295.8_6" 0 0
"ENSG00000038358.15_5" 6327 7107
"ENSG00000038382.20_5" 2616 2656
"ENSG00000038427.16_6" 37105 47421
"ENSG00000038532.16_8" 6592 3580
"ENSG00000038945.15_8" 1056 3242
"ENSG00000039068.19_7" 634 226
"ENSG00000039123.16_6" 11225 3713
"ENSG00000039139.9_5" 0 0
"ENSG00000039319.17_6" 6705 6001
"ENSG00000039523.20_8" 9205 8550
"ENSG00000039537.13_5" 0 0
"ENSG00000039560.14_7" 0 0
"ENSG00000039600.11_5" 0 225
"ENSG00000039650.12_7" 6705 7338
"ENSG00000039987.7_6" 0 0
"ENSG00000040199.18_8" 1122 402
"ENSG00000040275.17_8" 1304 0
"ENSG00000040341.18_9" 2842 5235
"ENSG00000040487.13_6" 1648 105
"ENSG00000040531.16_6" 2318 2189
"ENSG00000040608.14_7" 8 0
"ENSG00000040633.13_6" 5376 8360
"ENSG00000040731.10_6" 0 0
"ENSG00000040933.16_4" 19795 23340
"ENSG00000041353.10_6" 264 1762
"ENSG00000041357.16_5" 13477 3530
"ENSG00000041515.16_4" 165 0
"ENSG00000041802.11_6" 8296 9316
"ENSG00000041880.14_5" 2386 200
"ENSG00000041982.16_6" 0 0
"ENSG00000041988.15_6" 2400 1432
"ENSG00000042062.13_9" 1216 898
"ENSG00000042088.14_8" 4168 3036
"ENSG00000042286.15_5" 1292 3523
"ENSG00000042304.12_8" 0 0
"ENSG00000042317.17_9" 814 0
"ENSG00000042429.12_5" 1445 54
"ENSG00000042445.14_7" 3626 5312
"ENSG00000042493.16_5" 23373 16494
"ENSG00000042753.12_4" 7590 11676
"ENSG00000042781.14_6" 95 0
"ENSG00000042813.8_8" 0 0
"ENSG00000042832.12_4" 133 24
"ENSG00000042980.13_4" 5868 1604
"ENSG00000043039.7_4" 0 0
"ENSG00000043093.15_9" 5396 4384
"ENSG00000043143.20_4" 17543 16578
"ENSG00000043355.12_5" 0 0
"ENSG00000043462.12_7" 50980 55252
"ENSG00000043514.17_7" 3316 2654
"ENSG00000043591.6_5" 0 0
"ENSG00000044012.4_4" 0 0
"ENSG00000044090.10_4" 1487 468
"ENSG00000044115.21_8" 10046 16200
"ENSG00000044446.12_5" 4573 10647
"ENSG00000044459.15_5" 308 0
"ENSG00000044524.11_4" 0 0
"ENSG00000044574.8_5" 27457 44694
"ENSG00000046604.13_4" 0 0
"ENSG00000046647.13_7" 1562 960
"ENSG00000046651.15_6" 7309 7316
"ENSG00000046653.15_6" 338 630
"ENSG00000046774.10_6" 0 0
"ENSG00000046889.19_5" 0 0
"ENSG00000047056.16_6" 6070 9056
"ENSG00000047188.16_4" 4654 11624
"ENSG00000047230.15_7" 833 814
"ENSG00000047249.18_8" 5159 6764
"ENSG00000047315.17_5" 14905 17526
"ENSG00000047346.12_7" 5403 8147
"ENSG00000047365.12_6" 7731 8026
"ENSG00000047410.14_5" 30676 24916
"ENSG00000047457.14_6" 2 0
"ENSG00000047578.13_8" 4036 5114
"ENSG00000047579.20_5" 6744 5946
"ENSG00000047597.7_6" 1345 1246
"ENSG00000047617.15_7" 0 0
"ENSG00000047621.12_6" 4784 2833
"ENSG00000047634.15_6" 2467 2524
"ENSG00000047644.19_4" 10593 15641
"ENSG00000047648.23_8" 108 604
"ENSG00000047662.5_5" 14 0
"ENSG00000047849.21_9" 11243 6734
"ENSG00000047932.14_7" 3928 1531
"ENSG00000047936.10_4" 94 0
"ENSG00000048028.11_6" 4963 3879
"ENSG00000048052.21_7" 4706 2027
"ENSG00000048140.18_7" 3632 8884
"ENSG00000048162.21_5" 1531 1208
"ENSG00000048342.16_9" 914 2336
"ENSG00000048392.12_4" 6322 9615
"ENSG00000048405.10_8" 8368 7995
"ENSG00000048462.11_6" 726 1199
"ENSG00000048471.14_5" 6249 6571
"ENSG00000048540.15_9" 152 0
"ENSG00000048544.6_5" 6334 3158
"ENSG00000048545.14_5" 0 0
"ENSG00000048649.13_6" 20909 15356
"ENSG00000048707.15_9" 9587 11587
"ENSG00000048740.18_6" 50787 67117
"ENSG00000048828.17_5" 25057 17334
"ENSG00000048991.16_5" 4412 6641
"ENSG00000049089.15_9" 3048 1610
"ENSG00000049130.16_7" 0 0
"ENSG00000049167.14_8" 765 22
"ENSG00000049192.15_6" 2 0
"ENSG00000049239.13_4" 12582 11166
"ENSG00000049245.13_5" 11527 19260
"ENSG00000049246.14_3" 330 861
"ENSG00000049247.13_4" 0 0
"ENSG00000049249.9_5" 992 326
"ENSG00000049283.18_8" 0 0
"ENSG00000049323.16_6" 52 1021
"ENSG00000049449.10_5" 789 1123
"ENSG00000049540.17_9" 0 0
"ENSG00000049541.11_6" 3945 2810
"ENSG00000049618.24_7" 12439 6872
"ENSG00000049656.14_5" 9715 13183
"ENSG00000049759.18_7" 648 1460
"ENSG00000049768.16_7" 976 2684
"ENSG00000049769.14_7" 1273 272
"ENSG00000049860.14_5" 16549 5142
"ENSG00000049883.15_5" 1226 1924
"ENSG00000050030.15_9" 0 0
"ENSG00000050130.18_6" 4216 2642
"ENSG00000050165.18_5" 444 1504
"ENSG00000050327.15_6" 162 30
"ENSG00000050344.9_4" 3144 1886
"ENSG00000050393.11_7" 2281 1080
"ENSG00000050405.13_7" 1903 1978
"ENSG00000050426.16_8" 10148 10753
"ENSG00000050438.17_4" 1184 2662
"ENSG00000050555.18_6" 2 0
"ENSG00000050628.20_5" 0 0
"ENSG00000050730.16_7" 210 424
